t_sec,seg_i,target_x,target_y,target_z,pose_x,pose_y,pose_z,err_x,err_y,err_z,err_norm
0.037067097,0,-3.3971777848702707,-10.136394758770328,6.999998961200219,-3.476644541940484,1.8798302886022427,8.350711807113223,-0.07946675707021322,12.01622504737257,1.3507128459130042,12.092162939139449
0.057227030000000005,0,-3.3971717254937266,-10.136380421648795,6.99999611961539,-3.476644716474257,1.879830077764794,8.350048458800023,-0.07947299098053051,12.016210499413589,1.350052339184633,12.09207476163833
0.077072007,0,-3.3971595825844028,-10.13635169024954,6.999990425117506,-3.4766474584416325,1.8798267511007174,8.34810238222092,-0.07948787585722972,12.016178441350258,1.3481119571034146,12.091826516521985
0.09721160100000001,0,-3.3971389209491436,-10.1363028026497,6.999980735706581,-3.476660471228017,1.8798109598668091,8.344745676363832,-0.07952155027887331,12.01611376251651,1.3447649406572513,12.091389761988417
0.11726985100000001,0,-3.397107867735639,-10.13622932748394,6.999966173096102,-3.476694208473187,1.879770017478955,8.340369731164625,-0.07958634073754789,12.015999344962896,1.3404035580685232,12.09079219663722
0.137155395,0,-3.3970645250344544,-10.136126774099136,6.999945847248845,-3.4767644622510034,1.8796847588057881,8.33490185483918,-0.079699937216549,12.015811532904923,1.3349560075903346,12.090003573882218
0.157067419,0,-3.3970066151743,-10.13598975328571,6.999918690035751,-3.4768907288288715,1.879531523297516,8.328400520111206,-0.07988411365457138,12.015521276583225,1.3284818300754546,12.089003143041994
0.177114879,0,-3.3969318040699252,-10.135812742352728,6.999883606872055,-3.4770962853093894,1.879282061603618,8.320922150096482,-0.08016448123946418,12.015094803956346,1.321038543224427,12.0877653983189
0.19722583900000001,0,-3.3968379098667456,-10.135590578803006,6.9998395745625785,-3.477407938441754,1.8789038091347336,8.312521265225168,-0.08057002857500839,12.01449438793774,1.3126816906625898,12.0862608009381
0.21707800000000002,0,-3.396724383819865,-10.135321964248467,6.999786335769761,-3.477855675810205,1.878360143274706,8.303251218578213,-0.08113129199033997,12.013682107523174,1.303464882808452,12.084459473550204
0.23706885300000002,0,-3.3965875653409845,-10.134998237352596,6.9997221738364335,-3.4784721932202958,1.8776106918649547,8.293163856076367,-0.08188462787931128,12.012608929217551,1.2934416822399335,12.082320545489424
0.257108779,0,-3.3964259529664518,-10.134615845494638,6.999646384641257,-3.479292405782273,1.876611643802839,8.28230934029334,-0.08286645281582139,12.011227489297477,1.282662955652083,12.079804506135842
0.27710269800000004,0,-3.396238070809416,-10.134171296571246,6.999558276057301,-3.4803529713379855,1.875316050511438,8.270736165601623,-0.08411490052856951,12.009487347082684,1.2711778895443215,12.076868587638783
0.297102588,0,-3.396021800973123,-10.133659579416177,6.999456854882834,-3.48169183757227,1.8736741227261597,8.258491172985117,-0.08567003659914674,12.007333702142336,1.259034318102283,12.073465509286608
0.317219189,0,-3.3957740086203154,-10.13307327667512,6.9993406510151255,-3.4833478033227694,1.8716335226737868,8.245619565997611,-0.08757379470245397,12.004706799348906,1.2462789149824856,12.069542892826652
0.337063375,0,-3.3954960871653856,-10.132415685312926,6.999210317905102,-3.485359969614665,1.8691396642049163,8.232164927884314,-0.08986388244927923,12.001555349517842,1.2329546099792124,12.06505629473722
0.35713957900000004,0,-3.3951823531959238,-10.131673357778705,6.999063190278806,-3.487767072583407,1.8661360223477212,8.218169241327232,-0.09258471938748336,11.997809380126427,1.219106051048426,12.05994284463308
0.37708141900000003,0,-3.3948340616857404,-10.13084926347235,6.998899856664533,-3.4906068014883305,1.8625644427750134,8.203672909681881,-0.09577273980259005,11.993413706247363,1.2047730530173482,12.054153759437787
0.3970659,0,-3.39444743899047,-10.12993447355481,6.9987185473867255,-3.493915125334796,1.8583654496238453,8.188714778545174,-0.09946768634432601,11.988299923178655,1.1899962311584487,12.04762714806876
0.41706368600000004,0,-3.3940213077424093,-10.1289262022504,6.998518710310985,-3.497725639305894,1.8534785510080927,8.173332158258619,-0.10370433156348469,11.982404753258493,1.174813447947634,12.040305847310332
0.437101328,0,-3.393553830633768,-10.12782010229585,6.998299483819636,-3.502068942964226,1.8478425412309438,8.157560846930618,-0.10851511233045841,11.975662643526794,1.159261363110982,12.032130243193397
0.45706218400000004,0,-3.3930436613423414,-10.126612988151376,6.99806023654595,-3.5069720636395125,1.8413958020016246,8.141435157049658,-0.11392840229717116,11.968008790153,1.1433749205037085,12.023041224701274
0.47717292400000005,0,-3.3924865780749034,-10.125294870610638,6.997798988651986,-3.5124579470896884,1.834076719341287,8.124987945510714,-0.119971369014785,11.959371589951925,1.1271889568587286,12.012972858555736
0.49706077200000004,0,-3.3918872901068573,-10.123876892314025,6.997517948583684,-3.518545048124941,1.8258244876275451,8.108250645087866,-0.12665775801808365,11.949701379941569,1.110732696504182,12.001880368530884
0.517104876,0,-3.3912373327458463,-10.122339024910074,6.99721314676741,-3.5252470187351266,1.8165801276029563,8.091253301041558,-0.1340096859892803,11.93891915251303,1.0940401542741478,11.989690278958236
0.537237176,0,-3.390535305189999,-10.120677953954385,6.996883926287833,-3.5325724863160803,1.8062874842659284,8.074024612564264,-0.14203718112608144,11.926965438220313,1.0771406862764312,11.976347990241273
0.557063588,0,-3.389788617019485,-10.118911211292122,6.996533761916727,-3.540524928367668,1.7948941650387302,8.056591976842709,-0.150736311348183,11.913805376330853,1.0600582149259816,11.961822745705641
0.5771799590000001,0,-3.388981570939144,-10.117001655473702,6.996155292303395,-3.549102649910437,1.7823523975792728,8.038981539934502,-0.1601210789712928,11.899354053052974,1.0428262476311074,11.946035000057028
